no,Moisture_value,Class
1258,1024,Dry
1259,1024,Dry
1260,1024,Dry
1261,1024,Dry
1262,1024,Dry
1263,1024,Dry
1264,1024,Dry
1265,1024,Dry
1266,1024,Dry
1267,1024,Dry
1268,1024,Dry
1269,1024,Dry
1270,1024,Dry
1271,1024,Dry
1272,1024,Dry
1273,1024,Dry
1274,1024,Dry
1275,1024,Dry
1276,1024,Dry
1277,1024,Dry
1278,1024,Dry
1279,1024,Dry
1280,1024,Dry
1281,1024,Dry
1282,1024,Dry
1283,1024,Dry
1284,1024,Dry
1285,1024,Dry
1286,1024,Dry
1287,1024,Dry
1288,1024,Dry
1289,813,Adequate
1290,828,Adequate
1291,826,Adequate
1292,829,Adequate
1293,829,Adequate
1294,829,Adequate
1295,830,Adequate
1296,831,Adequate
1297,832,Adequate
1298,832,Adequate
1299,834,Adequate
1300,834,Adequate
1301,834,Adequate
1302,1024,Dry
1303,951,Adequate
1304,950,Adequate
1305,952,Adequate
1306,953,Adequate
1307,953,Adequate
1308,953,Adequate
1309,952,Adequate
1310,953,Adequate
1311,953,Adequate
1312,952,Adequate
1313,953,Adequate
1314,952,Adequate
1315,952,Adequate
1316,952,Adequate
1317,951,Adequate
1318,952,Adequate
1319,951,Adequate
1320,951,Adequate
1321,951,Adequate
1322,952,Adequate
1323,952,Adequate
1324,952,Adequate
1325,952,Adequate
1326,952,Adequate
1327,952,Adequate
1328,952,Adequate
1329,952,Adequate
1330,952,Adequate
1331,952,Adequate
1332,952,Adequate
1333,952,Adequate
1334,952,Adequate
1335,952,Adequate
1336,952,Adequate
1337,953,Adequate
1338,952,Adequate
1339,953,Adequate
1340,953,Adequate
1341,953,Adequate
1342,952,Adequate
1343,953,Adequate
1344,954,Adequate
1345,953,Adequate
1346,953,Adequate
1347,953,Adequate
1348,953,Adequate
1349,953,Adequate
1350,952,Adequate
1351,953,Adequate
1352,953,Adequate
1353,953,Adequate
1354,953,Adequate
1355,953,Adequate
1356,953,Adequate
1357,1017,Dry
1358,990,Adequate
1359,989,Adequate
1360,908,Adequate
1361,908,Adequate
1362,906,Adequate
1363,905,Adequate
1364,905,Adequate
1365,903,Adequate
1366,903,Adequate
1367,903,Adequate
1368,902,Adequate
1369,903,Adequate
1370,903,Adequate
1371,903,Adequate
1372,903,Adequate
1373,903,Adequate
1374,904,Adequate
1375,905,Adequate
1376,905,Adequate
1377,1024,Dry
1378,772,Adequate
1379,769,Adequate
1380,769,Adequate
1381,769,Adequate
1382,770,Adequate
1383,320,Wet
1384,321,Wet
1385,321,Wet
1386,321,Wet
1387,322,Wet
1388,322,Wet
1389,324,Wet
1390,327,Wet
1391,325,Wet
1392,325,Wet
1393,326,Wet
1394,326,Wet
1395,327,Wet
1396,1021,Dry
1397,1021,Dry
1398,1022,Dry
1399,1023,Dry
1400,1023,Dry
1401,1023,Dry
1402,1023,Dry
1403,1023,Dry
1404,1023,Dry
1405,1024,Dry
1406,1023,Dry
1407,1023,Dry
1408,1024,Dry
1409,1024,Dry
1410,1024,Dry
1411,1024,Dry
1412,1024,Dry
1413,1024,Dry
1414,1024,Dry
