Moisture_value,PH,Temperature,Class
456,6.85,22.7,1
456,6.73,22.7,1
456,6.43,22.7,1
456,6.92,22.7,1
456,6.67,22.7,1
456,6.72,22.7,1
454,6.53,22.7,1
454,6.85,22.7,1
454,6.61,22.7,1
454,6.67,22.7,1
454,6.67,22.7,1
454,6.86,22.7,1
454,6.66,22.7,1
454,6.52,22.7,1
453,6.47,22.7,1
453,6.51,22.7,1
453,7.03,22.7,1
452,6.4,22.7,1
452,6.76,22.7,1
452,6.89,22.7,1
452,6.79,22.7,1
452,6.67,22.7,1
451,6.75,22.7,1
451,6.57,22.7,1
452,6.61,22.7,1
452,6.64,22.7,1
451,6.75,22.7,1
451,6.86,22.7,1
451,6.71,22.7,1
451,6.66,22.7,1
451,6.2,22.7,1
451,6.87,22.7,1
451,6.87,22.7,1
451,6.76,22.7,1
451,6.41,22.7,1
451,6.65,22.7,1
451,6.69,22.7,1
451,6.65,22.7,1
451,6.53,22.7,1
451,6.7,22.7,1
451,6.93,22.7,1
451,5.3,22.7,1
451,6.71,22.7,1
451,6.74,22.7,1
446,7.06,22.7,1
442,6.48,22.7,1
442,6.58,22.7,1
441,6,22.7,1
441,6.67,22.7,1
440,6.92,22.6,1
440,6.69,22.6,1
440,6.1,22.7,1
440,6.65,22.7,1
439,6.69,22.6,1
439,6.68,22.6,1
439,5.8,22.7,1
439,6.89,22.6,1
438,6.88,22.6,1
438,6.6,22.6,1
438,6.64,22.6,1
438,6.92,22.6,1
437,6.56,22.6,1
437,6.45,22.6,1
437,6.49,22.6,1
437,6.63,22.6,1
437,6.77,22.6,1
437,6.6,22.6,1
437,5.9,22.6,1
437,6.79,22.6,1
437,6.64,22.6,1
437,5.7,22.6,1
437,6.64,22.6,1
436,6.58,22.6,1
436,6.94,22.6,1
436,6.76,22.6,1
436,6.63,22.6,1
436,5.8,22.6,1
435,6.92,22.6,1
435,5.4,22.6,1
434,6.62,22.6,1
434,6.5,22.6,1
434,6.47,22.6,1
434,6.89,22.6,1
434,6.51,22.6,1
434,6.78,22.7,1
434,6.95,22.7,1
434,6.48,22.6,1
496,6.56,22.6,1
266,6.63,22.7,1
296,6.94,22.6,1
321,6.91,22.6,1
344,6.15,22.6,1
361,7.28,22.6,1
369,7.11,22.6,1
375,7.1,22.6,1
378,6.76,22.6,1
380,6.85,22.6,1
382,6.47,22.6,1
386,7.24,22.6,1
387,7.35,22.6,1
388,6.93,22.6,1
389,7.31,22.6,1
390,7.18,22.6,1
391,6.83,22.6,1
392,6.96,22.6,1
392,6.87,22.6,1
393,6.92,22.6,1
394,6.85,22.6,1
394,6.84,22.6,1
396,7.32,22.6,1
397,6.95,22.6,1
397,6.91,22.6,1
649,7.33,22.6,1
657,6.91,22.6,1
579,7.32,22.6,1
581,7.38,22.6,1
582,7.19,22.6,1
585,6.83,22.6,1
586,7.3,22.6,1
586,6.87,22.6,1
588,6.99,22.6,1
588,7.02,22.6,1
588,6.66,22.6,1
588,6.93,22.6,1
589,6.87,22.6,1
589,6.77,22.6,1
588,6.8,22.6,1
589,6.8,22.6,1
589,6.78,22.6,1
589,7.39,22.5,1
296,6.81,22.6,1
415,6.38,22.6,1
438,7.19,22.5,1
441,6.11,22.5,1
446,6.27,22.6,1
447,6.69,22.5,1
448,6.63,22.6,1
448,6.27,22.5,1
450,7.16,22.6,1
452,6.4,22.6,1
662,6.62,22.6,1
266,6.93,22.6,1
394,6.81,22.5,1
415,5.74,22.5,1
429,6.58,22.6,1
430,6.82,22.6,1
430,6.89,22.5,1
430,6.51,22.6,1
432,6.28,22.5,1
430,7.02,22.5,1
430,7.17,22.5,1
430,7.24,22.5,1
432,7.35,22.5,1
432,6.55,22.5,1
433,6.3,22.5,1
433,7.45,22.5,1
433,6.62,22.5,1
433,6.74,22.5,1
433,6.76,22.5,1
433,6.92,22.5,1
433,6.94,22.5,1
433,6.76,22.5,1
433,7.35,22.5,1
433,7.23,22.5,1
432,6.89,22.6,1
432,6.59,22.5,1
567,6.54,22.5,1
568,7.05,22.5,1
605,6.1,22.5,1
355,5.96,22.5,1
344,6.65,22.5,1
355,6.54,22.5,1
390,6.13,22.5,1
402,6.75,22.5,1
408,6.67,22.5,1
413,7.02,22.5,1
415,6.76,22.5,1
416,6.86,22.5,1
417,6.64,22.5,1
422,6.72,22.5,1
424,6.78,22.5,1
426,6.73,22.5,1
427,6.73,22.5,1
427,6.62,22.5,1
427,6.56,22.5,1
427,6.88,22.5,1
469,6.46,22.5,1
469,6.49,22.5,1
450,6.61,22.5,1
451,6.66,22.5,1
461,6.79,22.5,1
513,6.86,22.5,1
543,6.59,22.5,1
543,6.63,22.5,1
542,6.69,22.5,1
541,6.55,22.5,1
538,6.93,22.5,1
538,6.67,22.5,1
538,6.5,22.5,1
